League,N_Bets,Hit_Rate_%,ROI_%,Avg_Odds,ES_Count,ES_ROI_%,SGP_Count,SGP_ROI_%,roi_num,es_roi_num,sgp_roi_num
Unknown,140,37.1%,20.8%,3.31,0,0.0%,140,20.8%,20.8,0.0,20.8
Premier League,35,5.7%,-56.1%,6.22,9,37.9%,26,-88.7%,-56.1,37.9,-88.7
